Date,High,low,Close,No.of Trades,Turn over
17-07-14,75.20,75.00,75.00,36,"5,693,253.40"
18-07-14,75.20,75.00,75.10,60,"27,408,958.20"
21-07-14,76.20,75.10,76.00,46,"2,200,540.20"
22-07-14,77.50,75.20,77.50,68,"21,224,429.00"
23-07-14,77.80,77.00,77.00,66,"3,579,445.20"
24-07-14,77.00,75.00,76.70,14,"112,587.50"
25-07-14,76.50,75.20,76.40,18,"9,657,595.20"
28-07-14,76.80,76.50,76.50,25,"5,671,521.50"
30-07-14,76.50,76.00,76.40,20,"431,272.90"
31-07-14,77.00,76.00,76.20,32,"2,901,391.60"
01-08-14,77.00,76.00,76.80,28,"1,104,257.90"
04-08-14,77.00,76.20,76.50,30,"1,477,310.70"
05-08-14,77.30,76.70,77.00,44,"4,881,658.80"
06-08-14,77.00,76.40,77.00,54,"6,912,121.00"
07-08-14,80.00,77.00,79.80,157,"77,024,680.60"
08-08-14,82.00,80.00,81.50,126,"8,764,833.10"
11-08-14,82.00,81.00,81.40,20,"995,884.00"
12-08-14,82.90,80.60,82.10,131,"118,750,176.20"
13-08-14,83.90,82.50,82.80,108,"11,262,559.30"
14-08-14,83.20,82.20,83.00,93,"25,492,290.20"
15-08-14,84.00,82.40,83.50,81,"49,425,881.30"
18-08-14,83.60,83.40,83.50,25,"1,577,466.00"
19-08-14,84.40,83.50,84.00,90,"30,668,759.30"
20-08-14,85.90,84.00,85.50,110,"14,565,943.10"
21-08-14,86.10,85.00,85.40,61,"5,140,289.50"
22-08-14,85.40,85.00,85.00,62,"14,777,785.30"
25-08-14,85.00,84.10,84.40,36,"2,598,050.00"
26-08-14,85.40,83.40,85.30,103,"57,199,509.00"
27-08-14,85.40,84.00,85.00,60,"16,138,780.30"
28-08-14,85.50,84.60,85.40,62,"10,063,633.30"
29-08-14,85.80,84.20,85.00,56,"13,688,356.60"
01-09-14,85.10,84.70,85.00,43,"7,612,028.70"
02-09-14,85.40,84.10,85.00,78,"23,732,788.90"
03-09-14,85.30,85.00,85.00,35,"12,417,497.50"
04-09-14,85.10,85.00,85.00,30,"5,614,810.70"
05-09-14,85.30,85.00,85.00,68,"12,771,134.70"
09-09-14,85.70,85.00,85.40,67,"7,293,407.90"
10-09-14,85.80,85.20,85.80,33,"2,422,340.00"
11-09-14,87.00,85.60,87.00,71,"3,473,171.80"
12-09-14,90.80,87.00,89.90,143,"18,118,079.30"
15-09-14,90.00,87.50,90.00,72,"8,989,151.60"
16-09-14,90.40,88.80,89.00,78,"36,804,125.00"
17-09-14,90.40,88.10,88.50,36,"2,010,292.20"
18-09-14,90.40,89.20,90.00,73,"119,992,032.10"
19-09-14,90.30,89.30,89.40,25,"2,330,349.00"
22-09-14,90.00,88.10,88.50,24,"2,006,234.00"
23-09-14,89.00,88.10,88.40,38,"4,411,175.20"
24-09-14,88.40,87.10,87.20,20,"260,614.10"
25-09-14,87.50,87.00,87.10,40,"1,779,071.40"
26-09-14,90.00,87.00,89.90,71,"25,207,853.10"
29-09-14,90.30,89.50,90.20,61,"22,428,454.00"
